dataset,experiment,architecture,epsilon,clean_acc,cert_rate,robust_acc,time_sec
MNIST,baseline,784-4-10,0.0001,1.0,1.0,1.0,870.9
MNIST,baseline,784-4-10,0.0005,1.0,1.0,1.0,875.0
MNIST,8-neuron,784-8-10,0.0001,0.95,0.95,0.95,6544.0
MNIST,8-neuron,784-8-10,0.0005,0.95,0.95,0.95,6538.0
MNIST,8-neuron,784-8-10,0.001,0.95,0.95,0.95,6536.6
MNIST,8-neuron,784-8-10,0.01,0.95,0.95,0.95,6538.9
MNIST,8-neuron,784-8-10,0.05,0.95,0.8,0.8,6387.8
MNIST,pgd-enhanced,784-8-10,0.0001,1.0,1.0,1.0,1661.9
MNIST,pgd-enhanced,784-8-10,0.01,1.0,1.0,1.0,1668.1
MNIST,pgd-enhanced,784-8-10,0.1,1.0,0.2,0.2,1004.5
MNIST,full-classes,784-8-10,0.01,1.0,1.0,1.0,3005.4
MNIST,full-classes,784-8-10,0.1,1.0,0.0,0.0,1172.1
MNIST,pgd-200,784-8-10,0.0001,1.0,1.0,1.0,3009.9
MNIST,pgd-200,784-8-10,0.1,1.0,0.0,0.0,1165.6
MNIST,final-16-neuron,784-16-10,0.0001,0.92,0.92,0.92,4844.7
MNIST,final-16-neuron,784-16-10,0.0005,0.92,0.92,0.92,4843.5
MNIST,final-16-neuron,784-16-10,0.001,0.92,0.92,0.92,4840.8
MNIST,final-16-neuron,784-16-10,0.01,0.92,0.92,0.92,4841.5
MNIST,final-16-neuron,784-16-10,0.05,0.92,0.83,0.83,4862.8
CIFAR10,baseline,768-12-10,0.001,0.33,0.33,0.33,738.9
CIFAR10,baseline,768-12-10,0.01,0.33,0.33,0.33,742.5
CIFAR10,better-16-neuron,768-16-10,0.0001,0.5,0.4,0.5,3509.9
CIFAR10,better-16-neuron,768-16-10,0.0005,0.5,0.4,0.5,3552.0
CIFAR10,better-16-neuron,768-16-10,0.001,0.5,0.4,0.5,3552.8
CIFAR10,better-16-neuron,768-16-10,0.01,0.5,0.4,0.4,3297.7
CIFAR10,better-16-neuron,768-16-10,0.05,0.5,0.2,0.2,2520.0
