temperature,alpha,seed,best_acc,best_f1
1,0.0,42,0.881,0.87
1,0.0,123,0.874,0.8634
1,0.5,42,0.8916,0.8827
1,0.5,123,0.8714,0.8604
1,1.0,42,0.8461,0.8324
1,1.0,123,0.8857,0.8769
2,0.0,42,0.8359,0.8227
2,0.0,123,0.8645,0.8535
2,0.5,42,0.8848,0.8761
2,0.5,123,0.8718,0.8611
2,1.0,42,0.8717,0.8627
2,1.0,123,0.8598,0.8488
5,0.0,42,0.8769,0.8663
5,0.0,123,0.8753,0.8663
5,0.5,42,0.8681,0.8583
5,0.5,123,0.8643,0.8536
5,1.0,42,0.8821,0.8726
5,1.0,123,0.8631,0.8522
10,0.0,42,0.8834,0.8729
10,0.0,123,0.873,0.8622
10,0.5,42,0.8824,0.8719
10,0.5,123,0.8587,0.8476
10,1.0,42,0.8799,0.8697
10,1.0,123,0.8465,0.8339
